HLLHC_HMDY_CC_EL_FINAL	2	16
   1	EWK_MLL	5.500000000000e+02	3.025000000000e+05	1.400000000000e+04	1.398355097135e-03	1.541080846134e-06	7.109857529270e-07	5.084443532146e-02	2.097532645702e-05	1.500000000000e+00	
   2	EWK_MLL	6.500000000000e+02	4.225000000000e+05	1.400000000000e+04	6.290124193942e-04	1.034230279416e-06	3.198178127428e-07	5.084443532146e-02	9.435186290914e-06	1.500000000000e+00	
   3	EWK_MLL	7.750000000000e+02	6.006250000000e+05	1.400000000000e+04	2.716832718855e-04	5.549572533698e-07	1.381358254530e-07	5.084443532146e-02	4.075249078283e-06	1.500000000000e+00	
   4	EWK_MLL	9.250000000000e+02	8.556250000000e+05	1.400000000000e+04	1.099727423922e-04	3.527389577478e-07	5.591501987682e-08	5.084443532146e-02	1.649591135882e-06	1.500000000000e+00	
   5	EWK_MLL	1.100000000000e+03	1.210000000000e+06	1.400000000000e+04	4.489621869928e-05	1.952306263860e-07	2.282722887834e-08	5.084443532146e-02	6.734432804893e-07	1.500000000000e+00	
   6	EWK_MLL	1.300000000000e+03	1.690000000000e+06	1.400000000000e+04	1.785784226200e-05	1.233393818868e-07	9.079719058712e-09	5.084443532146e-02	2.678676339300e-07	1.500000000000e+00	
   7	EWK_MLL	1.500000000000e+03	2.250000000000e+06	1.400000000000e+04	7.870196147871e-06	8.192853343846e-08	7.537220042385e-09	9.576915112114e-02	1.180529422181e-07	1.500000000000e+00	
   8	EWK_MLL	1.700000000000e+03	2.890000000000e+06	1.400000000000e+04	3.627134760134e-06	5.502810503007e-08	3.473676169800e-09	9.576915112114e-02	5.440702140201e-08	1.500000000000e+00	
   9	EWK_MLL	1.900000000000e+03	3.610000000000e+06	1.400000000000e+04	1.796589067061e-06	3.861159774005e-08	1.720578098659e-09	9.576915112114e-02	2.694883600591e-08	1.500000000000e+00	
  10	EWK_MLL	2.100000000000e+03	4.410000000000e+06	1.400000000000e+04	9.608841714267e-07	2.870175308711e-08	9.202306142328e-10	9.576915112114e-02	1.441326257140e-08	1.500000000000e+00	
  11	EWK_MLL	2.300000000000e+03	5.290000000000e+06	1.400000000000e+04	4.927303711916e-07	2.004679209680e-08	1.097103006653e-09	2.226578816320e-01	7.390955567874e-09	1.500000000000e+00	
  12	EWK_MLL	2.500000000000e+03	6.250000000000e+06	1.400000000000e+04	2.635650407597e-07	1.447031217248e-08	5.868483364780e-10	2.226578816320e-01	3.953475611395e-09	1.500000000000e+00	
  13	EWK_MLL	2.700000000000e+03	7.290000000000e+06	1.400000000000e+04	1.592984822812e-07	1.164020183815e-08	3.546906261192e-10	2.226578816320e-01	2.389477234218e-09	1.500000000000e+00	
  14	EWK_MLL	2.900000000000e+03	8.410000000000e+06	1.400000000000e+04	8.766137554663e-08	8.467340999822e-09	1.951849618016e-10	2.226578816320e-01	1.314920633199e-09	1.500000000000e+00	
  15	EWK_MLL	3.125000000000e+03	9.765625000000e+06	1.400000000000e+04	4.681117280098e-08	5.461154170569e-09	2.616035554157e-10	5.588485392748e-01	7.021675920147e-10	1.500000000000e+00	
  16	EWK_MLL	3.375000000000e+03	1.139062500000e+07	1.400000000000e+04	2.417875709431e-08	3.904635555777e-09	1.351226308364e-10	5.588485392748e-01	3.626813564147e-10	1.500000000000e+00	
